site_num,date_local,pm_tot,site
62,2007-03-04,6.4,manhattan
62,2007-03-07,14.8,manhattan
62,2007-03-10,16.2,manhattan
62,2007-03-13,26.4,manhattan
62,2007-03-16,11,manhattan
62,2007-03-19,10.4,manhattan
62,2007-03-22,20.5,manhattan
134,2007-03-25,12,manhattan
134,2007-03-28,6.8,manhattan
134,2007-03-31,6.8,manhattan
134,2007-04-03,26.1,manhattan
134,2007-04-06,8.2,manhattan
134,2007-04-09,8.7,manhattan
134,2007-04-12,12.9,manhattan
134,2007-04-15,10.4,manhattan
134,2007-04-18,6.4,manhattan
134,2007-04-21,13.9,manhattan
134,2007-04-24,12,manhattan
134,2007-04-27,25,manhattan
134,2007-04-30,8.1,manhattan
134,2007-05-03,6.6,manhattan
134,2007-05-06,4.7,manhattan
134,2007-05-09,8.7,manhattan
134,2007-05-12,11,manhattan
134,2007-05-15,17.2,manhattan
134,2007-05-18,6.3,manhattan
134,2007-05-21,7.6,manhattan
134,2007-05-24,15.4,manhattan
134,2007-05-27,17.5,manhattan
134,2007-05-30,17.2,manhattan
134,2007-06-02,25.8,manhattan
134,2007-06-05,17.5,manhattan
134,2007-06-08,30,manhattan
134,2007-06-11,10.4,manhattan
134,2007-06-14,6.9,manhattan
134,2007-06-17,23.5,manhattan
134,2007-06-20,12.8,manhattan
134,2007-06-23,5.4,manhattan
134,2007-06-26,37.1,manhattan
134,2007-06-29,10.2,manhattan
134,2007-07-02,4.6,manhattan
134,2007-07-05,23.2,manhattan
134,2007-07-08,30.9,manhattan
134,2007-07-11,15.3,manhattan
134,2007-07-14,20.3,manhattan
134,2007-07-17,25.9,manhattan
134,2007-07-20,11.3,manhattan
134,2007-07-23,7,manhattan
134,2007-07-26,9.3,manhattan
134,2007-07-29,33.1,manhattan
134,2007-08-01,20,manhattan
134,2007-08-04,26.5,manhattan
134,2007-08-07,39.2,manhattan
134,2007-08-10,3.9,manhattan
134,2007-08-13,15.4,manhattan
134,2007-08-16,32.4,manhattan
134,2007-08-19,8.5,manhattan
134,2007-08-22,6.7,manhattan
134,2007-08-25,29.4,manhattan
134,2007-08-28,11.8,manhattan
134,2007-08-31,17.3,manhattan
134,2007-09-03,20.7,manhattan
134,2007-09-06,9.5,manhattan
134,2007-09-09,7.1,manhattan
134,2007-09-12,7.2,manhattan
134,2007-09-15,7,manhattan
134,2007-09-18,8.3,manhattan
134,2007-09-21,26,manhattan
134,2007-09-24,7.4,manhattan
134,2007-09-27,16.1,manhattan
134,2007-09-30,8,manhattan
134,2007-10-03,11.8,manhattan
134,2007-10-06,24.2,manhattan
134,2007-10-09,16.2,manhattan
134,2007-10-12,5.2,manhattan
134,2007-10-15,9.2,manhattan
134,2007-10-18,18.5,manhattan
134,2007-10-21,12.7,manhattan
134,2007-10-24,8.2,manhattan
134,2007-10-27,7.6,manhattan
134,2007-10-30,14.9,manhattan
134,2007-11-02,5.2,manhattan
134,2007-11-05,13.8,manhattan
134,2007-11-08,12,manhattan
134,2007-11-11,10.9,manhattan
134,2007-11-14,31.3,manhattan
134,2007-11-17,9.5,manhattan
134,2007-11-20,13.5,manhattan
134,2007-11-23,4.5,manhattan
134,2007-11-26,18.2,manhattan
134,2007-11-29,10.2,manhattan
134,2007-12-02,17.6,manhattan
134,2007-12-05,10.8,manhattan
134,2007-12-08,30.2,manhattan
134,2007-12-11,20.5,manhattan
134,2007-12-14,21.4,manhattan
134,2007-12-17,6,manhattan
134,2007-12-20,22.7,manhattan
134,2007-12-23,7.6,manhattan
134,2007-12-26,15.7,manhattan
134,2007-12-29,12.2,manhattan
124,2007-01-01,6.9,queens
124,2007-01-02,3.1,queens
124,2007-01-03,10.6,queens
124,2007-01-04,16.9,queens
124,2007-01-05,10.2,queens
124,2007-01-06,5,queens
124,2007-01-07,3.8,queens
124,2007-01-08,4.3,queens
124,2007-01-10,3.6,queens
124,2007-01-11,8.7,queens
124,2007-01-12,14.1,queens
124,2007-01-13,17.2,queens
124,2007-01-14,9.6,queens
124,2007-01-15,14.6,queens
124,2007-01-16,5.6,queens
124,2007-01-17,4.3,queens
124,2007-01-18,16.2,queens
124,2007-01-19,16.7,queens
124,2007-01-20,4.4,queens
124,2007-01-21,7.2,queens
124,2007-01-22,16.8,queens
124,2007-01-23,12.8,queens
124,2007-01-24,13.1,queens
124,2007-01-25,8.6,queens
124,2007-01-26,4.6,queens
124,2007-01-27,16.5,queens
124,2007-01-28,15.1,queens
124,2007-01-29,7.8,queens
124,2007-01-30,16.6,queens
124,2007-01-31,14.6,queens
124,2007-02-01,19.9,queens
124,2007-02-02,29.5,queens
124,2007-02-07,11.1,queens
124,2007-02-08,11.6,queens
124,2007-02-10,10.3,queens
124,2007-02-11,12.2,queens
124,2007-02-12,16.8,queens
124,2007-02-13,8,queens
124,2007-02-14,7.2,queens
124,2007-02-15,5.8,queens
