"","date_local","aluminum_pm2_5_lc_88104","arsenic_pm2_5_lc_88103","barium_pm2_5_lc_88107","bromine_pm2_5_lc_88109","cadmium_pm2_5_lc_88110","calcium_pm2_5_lc_88111","chromium_pm2_5_lc_88112","copper_pm2_5_lc_88114","iron_pm2_5_lc_88126","lead_pm2_5_lc_88128","magnesium_pm2_5_lc_88140","manganese_pm2_5_lc_88132","nickel_pm2_5_lc_88136","selenium_pm2_5_lc_88154","silicon_pm2_5_lc_88165","sulfate_pm2_5_lc_88403","sulfur_pm2_5_lc_88169","titanium_pm2_5_lc_88161","total_nitrate_pm2_5_lc_88306","vanadium_pm2_5_lc_88164","zinc_pm2_5_lc_88167"
"76",2002-01-09,0.0227,0.00148,0.0061,0.0086,0.001,0.0629,7e-04,0.00357,0.125,0.00958,0,0.0051,0.0399,0.0043,0.0791,4.14,1.45,0.00562,4.11,0.0124,0.0762
"77",2002-01-14,0.006,0,0.032,0.0022,0,0.047,0.00098,0.00319,0.108,0.0061,0,0.00258,0.0332,0.001,0.0837,2.42,0.721,0.0053,3.13,0.0061,0.0423
"78",2002-01-17,0.012,0.00172,0.0102,0.00454,0.001,0.0791,0.00081,0.00382,0.133,0.00604,0,0.00507,0.0287,0.00242,0.0801,4.52,1.57,0.003,4.51,0.00569,0.0451
"79",2002-01-20,0.001,0.0023,0.022,0.00413,0,0.032,0,0.00173,0.065,0.005,0,0.00117,0.0333,0.00352,0.0399,4.09,1.29,0.0026,5.33,0.00638,0.0335
"80",2002-01-23,0.003,0,0.039,0.00488,0.001,0.052,0.001,0.00202,0.0747,0.0066,0.024,0.00272,0.0235,0.001,0.0365,3.3,1.15,0.0033,3.56,0.00845,0.0224
"81",2002-01-26,0.0103,0.0022,0.036,0.00314,0,0.0502,0.00094,0.00225,0.111,0.0062,0,0.004,0.0183,0.003,0.068,2.47,0.841,0.0073,3.09,0.00736,0.0326
"82",2002-01-29,0.002,0.0025,0.021,0.00948,0.002,0.111,0.00122,0.00671,0.293,0.0111,0,0.0053,0.0388,0.004,0.138,6.92,2.35,0.0104,3.61,0.0139,0.0784
"83",2002-02-01,0,0,0.0029,0.00095,0.001,0.0397,0.00069,0.00114,0.0596,0.0025,0,0.00255,0.018,0,0.0381,0.192,0.876,0,0.14,0.00333,0.0379
"84",2002-02-04,0.0105,0.00228,0.0046,0.00458,0.002,0.0433,0.00086,0.00226,0.108,0.0113,0,0.00237,0.0288,0.00295,0.0652,2.81,1.03,0.00409,4.09,0.00448,0.0405
"85",2002-02-07,0,0.0031,0.0128,0.0113,0.0046,0.088,0,0.011,0.193,0.0197,0,0.00376,0.0511,0.005,0.289,5.58,1.95,0.011,8.64,0.016,0.109
"86",2002-02-10,0,0,0.027,0.00479,0.002,0.058,0.012,0.00296,0.079,0.0042,0.0116,0.0014,0.0187,0,0.0331,2.11,0.753,0.0026,0.569,0.00389,0.0582
"87",2002-02-13,0,0.0013,0.025,0.00202,0.001,0.0454,0,0.00094,0.0696,0.002,0,0,0.0251,0.001,0.0384,1.85,0.598,0.0024,1.02,0.0052,0.0225
"88",2002-02-16,0.004,0.001,0.033,0.00736,0,0.0656,0.001,0.00436,0.163,0.0123,0.001,0.0078,0.0333,0.003,0.0885,4.14,1.32,0.008,4.93,0.0114,0.0631
"89",2002-02-19,0.014,0.0016,0.041,0.0038,0,0.066,0,0.00474,0.16,0.006,0,0.00328,0.0357,0.00169,0.0759,2.59,0.824,0.0057,4.27,0.00961,0.0562
"90",2002-02-22,0,0,0.0087,0.00215,0,0.026,0,0.006,0.0663,0.0031,0,0.00155,0.0117,0.001,0.0628,3.28,1.17,0.005,1.57,0.0021,0.015
"91",2002-02-25,0,0,0.033,0.00526,0.002,0.047,0.001,0.00211,0.0895,0.0087,0.054,0.00521,0.0267,0.00108,0.0396,3.31,1.08,0.0031,2.01,0.0106,0.0485
"92",2002-02-28,0,0.001,0.016,0.00183,0.003,0.0314,0,0.00244,0.0793,0.002,0.0094,0.0015,0.0124,0,0.0406,1.75,0.606,0.0048,1.16,0.00211,0.0149
"93",2002-03-03,0.003,0,0.024,0.00305,0,0.029,0.00131,0.00169,0.0463,0.0028,0,0.00192,0.0121,0.001,0.0258,2.76,0.883,0.0018,0.869,0.00586,0.0181
