"Date","aluminum","ammonium ion","antimony","arsenic","barium","bromine","cadmium","calcium","chlorine","chromium","cobalt","copper","elemental carbon","iron","lead","magnesium","manganese","nickel","organic carbon","potassium ion","selenium","silicon","sodium","sulfur","titanium","total nitrate","vanadium","zinc"
"2002-12-19",0,2.61,0.008,7e-04,0.0126,0.00764,0,0.093,0.762,9e-04,0.00353,0.013,NA,0.2,0.0085,0,0,0.0668,NA,0,0,0.126,0,0.992,0.007,5.17,0.018,0.071
"2002-12-25",0,0.491,0,0,0.007,0.00124,0,0.014,0,0,0,0.003,NA,0.015,0,0,0,0.00509,NA,0,0,0.0282,0,0.454,0.001,1.05,0.0024,0.009
"2002-12-28",0,3.42,0.002,0.0015,0.0045,0.0052,0.0065,0.031,0,0.0012,0.00059,0.005,NA,0.0641,0.0048,0,0,0.0193,NA,0,0.003,0.0947,0.061,2.27,0.004,4.46,0.0041,0.016
"2002-12-31",0,3.64,0.008,0,0.0158,0.00847,0,0.06,0.897,0.0023,0.00175,0.009,NA,0.162,0.0104,0,0,0.03,NA,0,0.002,0.116,0,1.8,0.004,5.45,0.0102,0.037
"2003-01-03",0,0.858,0,0.00074,0,0.00433,0.002,0.016,0.0289,0,0.00045,0,NA,0.0132,0.001,0.015,0.00107,0.00351,NA,0,0.00105,0.0207,0.128,0.816,0.00092,1.21,0.00455,0.00862
"2003-01-06",0.012,3.2,0.001,0.001,0.01,0.00657,0,0.022,0.378,0,0.00131,0.00169,NA,0.0501,0.0044,0,0.00178,0.0253,NA,0,0.00253,0.0167,0.084,1.71,0.0024,4.62,0.0084,0.0287
"2003-01-09",0.0299,1.8,0.007,0,0,0.00342,0.002,0.0516,0.0286,0,0,0.00347,NA,0.135,0.0054,0.0213,0.0019,0.0313,NA,0.062,0.001,0.0675,0.116,1.09,0.0063,2.41,0.00736,0.0368
"2003-01-12",0.018,1.73,0.001,0,0.005,0.0038,0.001,0.031,0.138,0.00164,0.00108,0.00131,NA,0.0573,0.0033,0,0.00319,0.0191,NA,0,0.00291,0.0565,0.073,0.816,0.0022,2.69,0.00403,0.0196
"2003-01-15",0.02,1.82,0.002,0.0017,0.023,0.00389,0.001,0.034,0.0328,0.001,0,0.00084,NA,0.0838,0.0026,0,0.00173,0.0262,NA,0,0.00145,0.0529,0.141,0.834,0.004,3.26,0.00497,0.0196
"2003-01-18",0.016,2.18,0.0069,0.0025,0.017,0.00848,0,0.049,0.397,0,0.00206,0.00159,NA,0.0764,0.008,0.017,0.00347,0.0345,NA,0.073,0.001,0.0662,0.226,0.831,0.0032,4.46,0.00619,0.0522
"2003-01-21",0.0185,1.17,0.004,0.001,0.009,0.00159,0,0.0249,0.0128,0.001,0,0,NA,0.0545,0.0027,0.005,0,0.023,NA,0,0,0.0417,0.075,0.741,0.0031,1.84,0.00356,0.0147
"2003-01-24",0.0057,0.638,0.012,0,0.007,0.00384,0.001,0.0526,0.357,0.001,0.00216,0.00202,NA,0.0695,0.00554,0.0244,0.00138,0.0277,NA,0,0,0.0612,0.163,0.436,0,1.26,0.0048,0.0218
