date,pm25,bc,Na,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Ba,Pb
3/13/1999,7.358331997,0.496184617,0.177194205,0.045979129,0.049581694,0.55954892,0.005459557,0.029229059,0.025812193,0.002934048,0.005533837,0.000408538,0.000631377,0.047798982,0.00727941,0.00482818,0.009879199,0,0.000779937,0,0.006908011
3/14/1999,7.82364204,0.57763849,0.311070046,0.036371016,0.037268059,0.768561974,0.002650354,0.027889882,0.021855229,0.002487256,0.007013245,0.000366972,0,0.03649334,0.011620784,0.002364932,0.010152896,0,0.001060142,0.009785924,0.003506623
3/15/1999,,0.486303702,,,,,,,,,,,,,,,,,,,
3/16/1999,4.410127634,0.492388665,0.155191549,0.040269802,0.050786693,0.529305204,0.004764061,0.024629299,0.021123669,0.001977535,0.001213487,0.000134832,0.00044944,0.029213584,0.001662927,0.00350563,0.003235966,0,0,0,0.002966302
3/17/1999,13.46972046,0.929157806,0.133934318,0.056882749,0.093501316,1.197112466,0.002670104,0.04915852,0.033280938,0.004291238,0.004052836,0.001192011,0,0.088208789,0.003862115,0.001382732,0.019215212,0,0.003194589,0.024746141,0.008153353
3/18/1999,11.04050954,1.056668116,0.138168418,0.071192356,0.10889668,1.022329981,0.001647747,0.041532913,0.034748073,0.003586273,0.007899492,0.000339242,0.001017726,0.071386208,0.005234019,0.008674902,0.019385257,0,0.002374694,0.019142941,0.004603998
3/19/1999,3.61981789,0.29594847,0.037619923,0.042605191,0.05358116,0.285249505,0.00737317,0.013573335,0.016463953,0.001927078,0.00167572,0.001550041,0,0.031168399,0.001424362,0.002806832,0.012190866,0,0.000377037,0.011730043,0.006409631
3/20/1999,3.718190498,0.434136046,0.089152102,0.034560317,0.04305559,0.337687117,0.001544595,0.018824754,0.017183621,0.008060856,0.001641132,0.000917103,0.000724029,0.026258118,0.00308919,0.001303252,0.006805872,0.001351521,0.001254984,0.002509967,0.004295905
3/21/1999,10.90206364,0.682176786,0.218796084,0.041211591,0.058577759,0.738502898,0.002997207,0.03891961,0.031955512,0.002688671,0.008683084,0.001101914,0,0.053420801,0.007360787,0.003658355,0.009917228,0,0.00013223,0.022743509,0.006875945
3/22/1999,,0.526143266,,,,,,,,,,,,,,,,,,,
3/23/1999,11.39699419,0.837927461,0.249871397,0.05972361,0.066309784,1.421538405,0.002329803,0.033692539,0.039382635,0.003853136,0.002419411,0.000985686,0.00080647,0.058424297,0.001792156,0.006720586,0.012455487,0,0.003853136,0,0.011649016
3/24/1999,14.29856114,1.555138036,0.295344193,0.037032795,0.048356873,1.330601009,0.003060562,0.035852293,0.020768096,0.002142393,0.008132349,0.000699557,0.00511551,0.079006211,0.005946234,0.001748892,0.012198524,0,0.000393501,0.002929395,0.009881242
3/25/1999,10.84254687,0.66501048,0.244020547,0.036010556,0.058459779,1.059244458,0.000876271,0.040183274,0.025119762,0.001126634,0.00517417,0,0,0.043312813,0.00650944,0.004548263,0.010765612,0,0.000166909,0.006092168,0.007177075
3/26/1999,6.760571021,0.704246307,0.251112482,0.067858624,0.120598026,0.564569519,0.001334049,0.03659741,0.057408573,0.00391321,0.005958752,0.000222341,0,0.073417161,0.007693016,0.005336196,0.012895807,0,0.001645327,0.002801503,0.004535766
3/27/1999,11.68342727,0.918488396,0.203893198,0.088174751,0.124492272,0.936747598,0.002619052,0.049980242,0.061242166,0.006765884,0.014972247,0.000742065,0.001920638,0.094242221,0.020297653,0.004234134,0.027674649,0,0.000829366,0.021476226,0.012265894
3/28/1999,,0.459705917,,,,,,,,,,,,,,,,,,,
3/29/1999,,0.813657523,,,,,,,,,,,,,,,,,,,
3/30/1999,3.697872913,0.411944763,0.074853912,0.026579862,0.040654191,0.330298491,0.000896454,0.017301563,0.021380429,0.001703263,0.000448227,0.000224114,0,0.031644828,0.001748085,0.002779008,0.005333902,0,0,0.009323122,0.004616738
3/31/1999,9.501714471,0.986294162,0.104622913,0.100592214,0.201052992,0.842678853,0.002803964,0.059540426,0.073998367,0.004775501,0.002102973,0.000876239,0,0.094721414,0.002278221,0.003899263,0.012267343,0,0,0,0.006352731
4/1/1999,16.89000119,1.658647714,0.162433038,0.159377612,0.282750749,1.080960076,0.005078613,0.081629414,0.117468733,0.009331435,0.012964915,0.000330316,0.000206448,0.171103841,0.007349538,0.006771484,0.019695109,0,0.002353504,0.005532798,0.011684939
4/2/1999,,0.699432038,,,,,,,,,,,,,,,,,,,
4/3/1999,5.631802783,0.523966055,0.253878842,0.064424054,0.121684643,0.620205227,0.00801177,0.052594911,0.066921841,0.00532547,0.007823257,0.001272458,0,0.082097075,0.007634745,0.002497787,0.012017654,0,0,0.001885122,0.008388794
4/4/1999,6.918303199,0.197514376,0.070816295,0.032076789,0.06882147,0.49794827,0.000319172,0.024017696,0.017793841,0.001037309,0.002792755,0.000518655,0,0.02956331,0.001795343,0.002633169,0.003351306,0,0.000398965,0,0.005505718
4/5/1999,,0.343381363,,,,,,,,,,,,,,,,,,,
4/6/1999,7.698642581,0.7517371,0.12617505,0.08062417,0.130259534,0.642817926,0.003418536,0.044485362,0.048836226,0.003818105,0.007059055,0,0.000177586,0.092700037,0.007858193,0.000488362,0.018158197,0,0.000976725,0.019845266,0.005283192
4/7/1999,5.936316294,0.57880246,0.131375267,0.029532291,0.046513359,0.795634674,0.000173719,0.016981068,0.020064586,0.000955456,0.002345211,0,0,0.033093538,0.001433185,0.001563474,0.004516703,0,0,0,0.007426503
4/8/1999,8.098348394,0.579483157,0.113959266,0.106152112,0.186574194,0.830496515,0.002602385,0.052341512,0.048186091,0.005414639,0.004617134,0.000587635,0,0.094021641,0.004323317,0.002308567,0.009989799,0,0,0.001133297,0.005246743
4/9/1999,5.945520404,0.592819796,0.071561993,0.04576073,0.085104337,0.524610924,0.00022128,0.021508428,0.030890706,0.003186434,0.005620515,0.00044256,0.002965154,0.106657021,0.004646883,0.002743874,0.009249509,0,0,0.019782443,0.004868163
4/10/1999,4.755654851,0.236770858,0.05548516,0.029637785,0.036371813,0.662837981,4.03235E-05,0.022540846,0.017339113,0.002258117,0.008105027,0,0,0.021694052,0.00504044,0.000564529,0.003830734,0,0.000161294,0.010927673,0.001814558
4/11/1999,5.775976061,0.311979518,0.08029591,0.038070943,0.065551408,0.752517385,0.000273892,0.029397707,0.020176687,0.00264762,0.00429097,0,0,0.032227921,0.005203942,0.000912972,0.007258129,0.000273892,0,0.003241052,0.005843022
4/12/1999,,0.554342772,,,,,,,,,,,,,,,,,,,
4/13/1999,3.301323528,0.251942672,0.05333837,0.05185425,0.085314408,0.29857794,0.000719573,0.017764465,0.024960198,0.00296824,0.00148412,0,0.00107936,0.040296104,0.000899467,0.002383587,0.00485712,0,4.49733E-05,0.000179893,0.000719573
4/14/1999,4.651118431,0.404083875,0.120294961,0.060169537,0.082093481,0.343945659,0.001764503,0.021438706,0.028717279,0.001985065,0.001102814,0,0,0.065507157,0.001102814,0.00379368,0.003352555,0,0,0.005205283,0.00326433
4/15/1999,7.172898522,0.577772261,0.093266721,0.071288329,0.132958392,0.468988423,0.001566776,0.030726227,0.062018235,0.00526611,0.004830894,0.000870431,0.000783388,0.138877325,0.004308635,0.002828902,0.006832886,0,0,0.009270094,0.00304651
4/16/1999,9.258944051,0.582268382,0.094157431,0.161578252,0.39039908,0.566415102,0.0184037,0.05953352,0.239649156,0.01354655,0.007040641,0.001158586,0.002851905,0.179090732,0.003431198,0.003386637,0.0131455,0,0,0,0.004456102
4/17/1999,7.076719142,0.525740328,0.116159814,0.030738669,0.032558722,0.765190638,0,0.017229833,0.010758534,0.001536933,0.003842334,0.000283119,0,0.033003624,0.002467183,0.001415597,0.005379267,0,0,0,0.001132477
4/18/1999,,0.297228148,,,,,,,,,,,,,,,,,,,
4/19/1999,,0.549191262,,,,,,,,,,,,,,,,,,,
4/20/1999,10.30350213,0.847643437,0.140948678,0.051379648,0.047859273,1.330746248,0.00182703,0.023528581,0.026737024,0.002941073,0.003876868,0,0,0.051335086,0.003253005,0.001693345,0.005436528,0,0,0.013546759,0.003475813
4/21/1999,7.967978269,0.816391035,0.145295382,0.060114711,0.080821374,1.877592981,0.003966961,0.045162321,0.026112191,0.004272111,0.004533669,0.000653895,0.002659171,0.076287704,0.005013192,0.007105655,0.017611561,0,0.000828267,0.016739702,0.008762188
4/22/1999,16.64253985,1.173399105,0.145456731,0.04870077,0.070166229,0.875766534,0.001613944,0.027477402,0.029898318,0.00173499,0.008674951,0.000121046,0,0.050112971,0.007585538,0.000564881,0.008513556,0,0,0.006496126,0.005890897
4/23/1999,18.23542202,1.391713173,0.234985931,0.055127878,0.082915188,1.681757678,0.00411002,0.052626127,0.045701636,0.005316222,0.006790468,0.00075946,0.004199368,0.092296756,0.009158197,0.003663279,0.020371404,0,0,0.017959001,0.01568062
4/24/1999,3.963434278,0.162268201,0.016212556,0.040147302,0.064971516,0.3084833,0.001859794,0.019366121,0.017870199,0.00250668,0.001495922,0.000849037,0,0.032667694,0.00125334,0.000606455,0.003598298,0,0.000283012,0.003679159,0.002830122
4/25/1999,3.766058557,0.203967119,0.076178073,0.044498054,0.069322858,0.316110609,0.000851831,0.024175789,0.021498604,0.001825353,0.00178479,0.00012169,0,0.026163396,0.002433804,0.002230987,0.005678877,0,0,0.010100288,0.007585357
4/26/1999,,0.486313838,,,,,,,,,,,,,,,,,,,
4/27/1999,5.029268466,0.424453081,0.036910408,0.036594935,0.059128761,0.505884411,0.000450677,0.017621453,0.032313508,0.002253383,0.004146224,0,0,0.040110212,0.005633457,0.00441663,0.010050087,0,0,0.007841772,0.005543321
4/28/1999,5.423446109,0.574935033,0.086753286,0.043617017,0.083388045,0.603776645,0.001092611,0.023556686,0.045102968,0.002185221,0.005463053,0,0,0.052620129,0.00611862,0.000699271,0.01066388,0,0,0.003277832,0.006249733
4/29/1999,5.032934312,0.587515039,0.095368998,0.074210244,0.133401748,0.362260839,0.003047921,0.032466982,0.055701856,0.003710512,0.002252811,0.000309209,0,0.078980902,0.002827057,0.003445476,0.010424772,0,0,0.002031947,0.006007496
4/30/1999,5.747019953,0.521225173,0.157822649,0.069640686,0.136664301,0.400544835,0.021823705,0.033312201,0.082016323,0.004258284,0.005189784,0.000665357,0.000532285,0.084145465,0.006254355,0.002661427,0.01357328,0,0,0.007318926,0.001241999
5/1/1999,,0.8148371,,,,,,,,,,,,,,,,,,,
5/2/1999,,0.626366241,,,,,,,,,,,,,,,,,,,
5/3/1999,,0.825832137,,,,,,,,,,,,,,,,,,,
5/4/1999,9.320629109,0.801748528,0.164675583,0.033451816,0.060355806,1.16943272,0.004187045,0.019866192,0.040088727,0.00249441,0.027082162,0,0,0.046992897,0.040489615,0.00191535,0.017549954,0,0,0.007483229,0.005256078
5/5/1999,10.70056394,1.209732896,0.174972098,0.057207436,0.06686527,1.204879965,0.002958255,0.016183396,0.036151619,0.003393293,0.023143997,0.000217519,0.000478541,0.067996367,0.026058749,0.003001759,0.016313908,0,0,0,0.007787172
5/6/1999,13.05949943,2.365509141,0.139726742,0.057651034,0.089205073,1.35541541,0.001540295,0.022928388,0.059543396,0.0041808,0.021388093,0,0,0.100779288,0.023368472,0.005545061,0.021652144,0,4.40084E-05,0.021256068,0.005721095
5/7/1999,13.30267466,1.877161527,0.108109206,0.084368103,0.135650675,1.138768192,0.002682611,0.027317918,0.070418528,0.005365221,0.009791529,0,0.000849493,0.108288047,0.003666234,0.004471018,0.014128416,0,8.94204E-05,0,0.006348845
5/8/1999,11.60884158,0.794004917,0.145114974,0.038406798,0.062029219,0.876310353,0.004032103,0.017350261,0.039465734,0.003747005,0.005987062,0.000162913,0,0.071070904,0.004317201,0.002036416,0.007331096,0,0,0.005376137,0.003950646
5/9/1999,8.1155014,0.673310169,0.095528284,0.03204321,0.040934557,0.752542955,0.002963782,0.025170672,0.015592071,0.000944974,0.00051544,0.00012886,0,0.033460671,0,0,0.002706062,0,0,0,0.003736943
5/10/1999,,0.408459767,,,,,,,,,,,,,,,,,,,
5/11/1999,5.767485095,0.44073235,0.086211376,0.06346053,0.112007612,0.319676262,0.001970546,0.037933006,0.036410311,0.002060116,0.001298769,8.95703E-05,0,0.06695377,0.001030058,0,0.005015935,0,0.000313496,0.006045993,0.005508571
5/12/1999,6.963842633,0.684734089,0.066479077,0.083555492,0.132703283,0.465268583,0.002591197,0.040991891,0.046471636,0.004970001,0.004587694,0.000382308,0.001231881,0.079010277,0.003695642,0.000297351,0.007561199,0,0,0.012403764,0.001104445
5/13/1999,6.194440881,0.488676058,0.083348867,0.062741835,0.122852985,0.397759559,0.001578411,0.029375982,0.042880164,0.004559854,0.00442832,0.000482292,0,0.145433031,0.004077562,0.00267453,0.008330502,0,0,0.017099452,0.00526137
5/14/1999,7.170126486,1.129766116,0.117970353,0.081141021,0.122271589,0.52358585,0.000716873,0.030915132,0.043505208,0.003539559,0.008423253,4.48045E-05,0,0.07442034,0.005869395,0.00344995,0.009229735,0,0,0.017787402,0.005734981
